CHEMICAL,DISEASE,relación,oración
meropenem,tuberculosis,otro,"BACKGROUND: In vitro, meropenem is shown to restore the activity of rifampicin in rifampicin-resistant Mycobacterium tuberculosis strains."
rifampicin,tuberculosis,otro,"BACKGROUND: In vitro, meropenem is shown to restore the activity of rifampicin in rifampicin-resistant Mycobacterium tuberculosis strains."
rifampicin,rifampicin-resistant tuberculosis,otro,This phase 2a trial aimed to determine if addition of rifampicin increases the early bactericidal activity (EBA) of meropenem plus amoxicillin/clavulanate in patients with rifampicin-resistant tuberculosis (RR-TB).
meropenem,rifampicin-resistant tuberculosis,otro,This phase 2a trial aimed to determine if addition of rifampicin increases the early bactericidal activity (EBA) of meropenem plus amoxicillin/clavulanate in patients with rifampicin-resistant tuberculosis (RR-TB).
amoxicillin/clavulanate,rifampicin-resistant tuberculosis,otro,This phase 2a trial aimed to determine if addition of rifampicin increases the early bactericidal activity (EBA) of meropenem plus amoxicillin/clavulanate in patients with rifampicin-resistant tuberculosis (RR-TB).
log10CFU/mL,TTP,otro,"The median (95% prediction interval) predicted 14-day EBA in CFU was 1.33 (-0.15-3.64) and 1.20 (0.05-2.66) log10CFU/mL, and TTP increased by 0.220 (0.098-0.551) and 0.216 (0.126-0.505) log10h for the M-AC-R and M-AC arms, respectively."
clove,Pseudomonas aeruginosa,otro,"AIM: Different types of meat products were evaluated bacteriologically to detect the prevalence of Pseudomonas spp., in addition to the evaluation of the antibacterial effect of clove essential oil (CEO) on Pseudomonas aeruginosa."
tetracycline,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
oxacillin,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
amoxicillin-clavulanic acid,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
lincomycin,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
clindamycin,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
amikacin,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
ciprofloxacin,Pseudomonas aeruginosa,otro,"Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin."
ceftriaxone,hypotension,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.
ceftriaxone,sepsis,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.
metronidazole,hypotension,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.
metronidazole,sepsis,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.
piperacillin-tazobactam,liver abscess,causa,"Desulfovibrio desulfuricans is emerging as an uncommon cause of liver abscess, and it is important to consider in the setting of an anaerobic, spiral gram-negative bacilli which can be resistant to empirical antibiotics including piperacillin-tazobactam."
penicillin,allergy,otro,"In 19% of the protocols (n = 8), there was no distinction between mild or severe allergy to penicillin derivatives."
clindamycin,allergy,tratamiento,"In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy."
vancomycin,allergy,tratamiento,"In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy."
clindamycin,allergy,tratamiento,"In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy."
cephalosporins,allergy,otro,"In the group with allergy severity classification (n = 35), first- and second-generation cephalosporins were preferred for mild penicillin allergy: 71% (n = 25) used cefazolin, 26% (n = 9) used cefuroxime and erythromycin was mentioned by n = 1."
penicillin allergy,allergy,otro,"In the group with allergy severity classification (n = 35), first- and second-generation cephalosporins were preferred for mild penicillin allergy: 71% (n = 25) used cefazolin, 26% (n = 9) used cefuroxime and erythromycin was mentioned by n = 1."
cefazolin,allergy,otro,"In the group with allergy severity classification (n = 35), first- and second-generation cephalosporins were preferred for mild penicillin allergy: 71% (n = 25) used cefazolin, 26% (n = 9) used cefuroxime and erythromycin was mentioned by n = 1."
cefuroxime,allergy,otro,"In the group with allergy severity classification (n = 35), first- and second-generation cephalosporins were preferred for mild penicillin allergy: 71% (n = 25) used cefazolin, 26% (n = 9) used cefuroxime and erythromycin was mentioned by n = 1."
erythromycin,allergy,otro,"In the group with allergy severity classification (n = 35), first- and second-generation cephalosporins were preferred for mild penicillin allergy: 71% (n = 25) used cefazolin, 26% (n = 9) used cefuroxime and erythromycin was mentioned by n = 1."
penicillins,Morbilliform,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.
penicillins,MDEs,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.
penicillins,urticaria,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.
penicillins,nonimmediate,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.
penicillins,allergy,otro,"OBJECTIVE: To assess the usefulness of patch tests (PTs), intradermal tests (IDTs), challenges, and relevant reagents in evaluating NIRs to penicillins, and to determine the predictive value of their morphology and duration for a positive allergy test."
benzylpenicillin,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
benzylpenicillin,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
amoxicillin,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
amoxicillin,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
penicillins,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
penicillins,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
