CHEMICAL,DISEASE,relación,oración,interpretacion
ceftriaxone,hypotension,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.,"The text suggests that ceftriaxone may cause or trigger hypotension, highlighting a possible causative association: ""She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.""."
ceftriaxone,sepsis,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.,"The text suggests that ceftriaxone may cause or trigger sepsis, highlighting a possible causative association: ""She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.""."
metronidazole,hypotension,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.,"The text suggests that metronidazole may cause or trigger hypotension, highlighting a possible causative association: ""She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.""."
metronidazole,sepsis,causa,She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.,"The text suggests that metronidazole may cause or trigger sepsis, highlighting a possible causative association: ""She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis.""."
piperacillin-tazobactam,liver abscess,causa,"Desulfovibrio desulfuricans is emerging as an uncommon cause of liver abscess, and it is important to consider in the setting of an anaerobic, spiral gram-negative bacilli which can be resistant to empirical antibiotics including piperacillin-tazobactam.","The text suggests that piperacillin-tazobactam may cause or trigger liver abscess, highlighting a possible causative association: ""Desulfovibrio desulfuricans is emerging as an uncommon cause of liver abscess, and it is important to consider in the setting of an anaerobic, spiral gram-negative bacilli which can be resistant to empirical antibiotics including piperacillin-tazobactam.""."
clindamycin,allergy,tratamiento,"In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy.","clindamycin appears to be used in the context of treating or preventing allergy, according to: ""In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy.""."
vancomycin,allergy,tratamiento,"In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy.","vancomycin appears to be used in the context of treating or preventing allergy, according to: ""In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy.""."
clindamycin,allergy,tratamiento,"In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy.","clindamycin appears to be used in the context of treating or preventing allergy, according to: ""In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy.""."
penicillins,Morbilliform,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.,"penicillins has been associated with the adverse effect Morbilliform, as indicated in the sentence: ""BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins."". This suggests a potential risk of Morbilliform when using penicillins."
penicillins,MDEs,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.,"penicillins has been associated with the adverse effect MDEs, as indicated in the sentence: ""BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins."". This suggests a potential risk of MDEs when using penicillins."
penicillins,urticaria,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.,"penicillins has been associated with the adverse effect urticaria, as indicated in the sentence: ""BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins."". This suggests a potential risk of urticaria when using penicillins."
penicillins,nonimmediate,efecto_adverso,BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins.,"penicillins has been associated with the adverse effect nonimmediate, as indicated in the sentence: ""BACKGROUND: Morbilliform drug eruptions (MDEs) and delayed-appearing urticaria are the most frequently reported nonimmediate reactions (NIRs) to penicillins."". This suggests a potential risk of nonimmediate when using penicillins."
benzylpenicillin,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","benzylpenicillin has been associated with the adverse effect MDEs, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of MDEs when using benzylpenicillin."
