abstract,tokens
"BACKGROUND: In vitro, meropenem is shown to restore the activity of rifampicin in rifampicin-resistant Mycobacterium tuberculosis strains. This phase 2a trial aimed to determine if addition of rifampicin increases the early bactericidal activity (EBA) of meropenem plus amoxicillin/clavulanate in patients with rifampicin-resistant tuberculosis (RR-TB). METHODS: Individuals with RR-TB were randomized to either 2 g meropenem infusion thrice daily plus amoxicillin/clavulanate 500 mg/125 mg orally thrice daily with 20 mg/kg rifampicin orally once daily (M-AC-R arm) or the same treatment without rifampicin (M-AC). Sputum samples were collected at baseline and throughout the 14-day treatment. Colony forming unit (CFU) and time-to-positivity (TTP) data were analysed using non-linear mixed-effects modeling. Plasma samples at day 13 were used to derive rifampicin and meropenem pharmacokinetic parameters using non-compartmental analysis. Rifampicin minimum inhibitory concentrations (MIC) were determined from baseline sputum isolates with and without meropenem. RESULTS: Of the 52 participants enrolled, 38 participants completed the trial. The majority (67%) were male, and the median age was 37 years. The median (95% prediction interval) predicted 14-day EBA in CFU was 1.33 (-0.15-3.64) and 1.20 (0.05-2.66) log10CFU/mL, and TTP increased by 0.220 (0.098-0.551) and 0.216 (0.126-0.505) log10h for the M-AC-R and M-AC arms, respectively. No statistically significant difference was found between the two arms. Meropenem pharmacokinetics were similar in both arms, and rifampicin MICs were not meaningfully reduced by meropenem. CONCLUSION: Adding rifampicin to meropenem plus amoxicillin/clavulanate did not enhance short-term antibacterial activity in patients with RR-TB.","vitro, meropenem, shown, restore, activity, rifampicin, rifampicinresistant, mycobacterium, tuberculosis, strains, phase, trial, aimed, determine, addition, rifampicin, increases, early, bactericidal, activity, eba, meropenem, plus, amoxicillinclavulanate, patients, rifampicinresistant, tuberculosis, rrtb, individuals, rrtb, randomized, either, g, meropenem, infusion, thrice, daily, plus, amoxicillinclavulanate, mg, mg, orally, thrice, daily, mgkg, rifampicin, orally, daily, macr, arm, treatment, without, rifampicin, mac, sputum, samples, collected, baseline, throughout, day, treatment, colony, forming, unit, cfu, timetopositivity, ttp, data, analysed, using, nonlinear, mixedeffects, modeling, plasma, samples, day, used, derive, rifampicin, meropenem, pharmacokinetic, parameters, using, noncompartmental, analysis, rifampicin, minimum, inhibitory, concentrations, mic, determined, baseline, sputum, isolates, without, meropenem, participants, enrolled, participants, completed, trial, majority, male, median, age, years, median, prediction, interval, predicted, day, eba, cfu, logcfuml, ttp, increased, logh, macr, mac, arms, respectively, statistically, significant, difference, found, two, arms, meropenem, pharmacokinetics, similar, arms, rifampicin, mics, meaningfully, reduced, meropenem, adding, rifampicin, meropenem, plus, amoxicillinclavulanate, enhance, shortterm, antibacterial, activity, patients, rrtb"
"The pharmacokinetics and plasma protein binding of amoxicillin in cats has not been thoroughly investigated. In a single-group sequential designed experimental study, amoxicillin was administered to six healthy cats intravenously, orally, and subcutaneously. Repeated blood samples were drawn after each administration, and amoxicillin concentrations were determined using High Performance Liquid Chromatography coupled to Triple Quadrupole Mass Spectrometry. Plasma amoxicillin data were subjected to population pharmacokinetic analysis, and pharmacokinetic parameters were estimated. The population clearance was 0.18 L/h∙kg, the volume of the central compartment was 0.12 L/kg, the highly perfused compartment was 0.009 L/kg, and the poorly perfused compartment was 0.002 L/kg. The bioavailability was 33% and 69% after oral and subcutaneous administration, respectively. After subcutaneous administration of a slow-release formulation, there was absorption rate-limited pharmacokinetics. The plasma protein binding was 0%-24%. The results increase the understanding of the amoxicillin pharmacokinetics in cats. Further studies combining the results with pharmacodynamic data and in silico simulations are warranted.","pharmacokinetics, plasma, protein, binding, amoxicillin, cats, thoroughly, investigated, singlegroup, sequential, designed, experimental, amoxicillin, administered, six, healthy, cats, intravenously, orally, subcutaneously, repeated, blood, samples, drawn, administration, amoxicillin, concentrations, determined, using, high, performance, liquid, chromatography, coupled, triple, quadrupole, mass, spectrometry, plasma, amoxicillin, data, subjected, population, pharmacokinetic, analysis, pharmacokinetic, parameters, estimated, population, clearance, lhkg, volume, central, compartment, lkg, highly, perfused, compartment, lkg, poorly, perfused, compartment, lkg, bioavailability, oral, subcutaneous, administration, respectively, subcutaneous, administration, slowrelease, formulation, absorption, ratelimited, pharmacokinetics, plasma, protein, binding, increase, understanding, amoxicillin, pharmacokinetics, cats, studies, combining, pharmacodynamic, data, silico, simulations, warranted"
"BACKGROUND AND AIM: Eggs represent a vital dietary source globally; however, bacterial contamination poses a substantial public health risk. This systematic review and meta-analysis aimed to evaluate the global prevalence of bacterial contamination in table eggs and to characterize the antibiotic resistance profiles of these pathogens, emphasizing their implications for public health. MATERIALS AND METHODS: A comprehensive bibliographic search of Web of Science, MEDLINE (PubMed), CAB Abstract, and Google Scholar databases was performed, identifying 136 studies published between 1979 and 2022. The systematic review utilized Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines and advanced bibliometric techniques for data collection. Microsoft Excel and R software (v5.0) were employed for data consolidation and statistical analysis. Heterogeneity among studies was assessed using Higgins' I(2) index, and a random-effects model was adopted for prevalence estimation and subgroup analyses. RESULTS: Seventeen bacterial species were identified in eggs, primarily Salmonella spp., Escherichia coli, Staphylococcus aureus, Campylobacter spp., and Listeria monocytogenes. Overall, eggshell contamination rates exceeded those of egg contents. Salmonella spp. isolates exhibited complete resistance (100%) to nitrofurantoin, novobiocin, and polymyxin and substantial resistance (>50%) to commonly used antibiotics such as amoxicillin (74.5%), penicillin G (89.1%), and colistin (83.1%). E. coli isolates showed total resistance to penicillin G (100%) and high resistance to amoxicillin (72.2%) and ceftazidime (95.6%). Antibiotic resistance varied significantly across regions, notably higher in Asian and African isolates. Multidrug-resistant strains of E. coli and Campylobacter spp. were also identified. CONCLUSION: This study underscores the high global prevalence of pathogenic bacteria in poultry eggs and highlights concerning antibiotic resistance trends, particularly among Salmonella spp. and E. coli. The findings emphasize the urgent need for region-specific biosecurity protocols and antimicrobial stewardship strategies to reduce egg contamination and control antibiotic-resistant pathogens, ultimately safeguarding public health and food safety.","aim, eggs, represent, vital, dietary, source, globally, however, bacterial, contamination, poses, substantial, public, health, risk, systematic, review, metaanalysis, aimed, evaluate, global, prevalence, bacterial, contamination, table, eggs, characterize, antibiotic, resistance, profiles, pathogens, emphasizing, implications, public, health, materials, comprehensive, bibliographic, search, web, science, medline, pubmed, cab, abstract, google, scholar, databases, performed, identifying, studies, published, systematic, review, utilized, preferred, reporting, items, systematic, reviews, metaanalyses, guidelines, advanced, bibliometric, techniques, data, collection, microsoft, excel, r, software, v, employed, data, consolidation, statistical, analysis, heterogeneity, among, studies, assessed, using, higgins, index, randomeffects, model, adopted, prevalence, estimation, subgroup, analyses, seventeen, bacterial, species, identified, eggs, primarily, salmonella, spp, escherichia, coli, staphylococcus, aureus, campylobacter, spp, listeria, monocytogenes, overall, eggshell, contamination, rates, exceeded, egg, contents, salmonella, spp, isolates, exhibited, complete, resistance, nitrofurantoin, novobiocin, polymyxin, substantial, resistance, commonly, used, antibiotics, amoxicillin, penicillin, g, colistin, e, coli, isolates, showed, total, resistance, penicillin, g, high, resistance, amoxicillin, ceftazidime, antibiotic, resistance, varied, significantly, across, regions, notably, higher, asian, african, isolates, multidrugresistant, strains, e, coli, campylobacter, spp, also, identified, underscores, high, global, prevalence, pathogenic, bacteria, poultry, eggs, highlights, concerning, antibiotic, resistance, trends, particularly, among, salmonella, spp, e, coli, findings, emphasize, urgent, need, regionspecific, biosecurity, protocols, antimicrobial, stewardship, strategies, reduce, egg, contamination, control, antibioticresistant, pathogens, ultimately, safeguarding, public, health, food, safety"
"BACKGROUND AND AIM: The indiscriminate use of antimicrobials in livestock farming has contributed to the emergence of antimicrobial-resistant pathogens, posing a significant public health challenge. This study aimed to assess the prevalence and antimicrobial resistance (AMR) profiles of Salmonella spp. isolated from swine and poultry in small- and medium-scale farms in Cambodia. MATERIALS AND METHODS: A total of 638 fecal samples (273 rectal swabs from swine and 365 cloacal swabs from poultry) were collected from five provinces in Cambodia from June to September 2021. Salmonella spp. isolation followed ISO 6579:2002 guidelines, and antimicrobial susceptibility testing was conducted using the disk diffusion method, adhering to Clinical and Laboratory Standards Institute 2020 standards. Resistance was assessed against nine antimicrobial agents across five major classes. RESULTS: Overall, Salmonella was detected in 6.58% (42/638) of samples, with 6.96% (19/273) from swine and 6.30% (23/365) from poultry. Swine-derived isolates exhibited the highest prevalence in the growing stage (13.93%), whereas poultry isolates were most common in avian broilers (14.55%). High resistance was observed against beta-lactams (penicillin, amoxicillin, and ampicillin), tetracyclines, and sulfonamides, with resistance rates ranging from 73.81% to 100%. Fluoroquinolone resistance (ciprofloxacin and norfloxacin) was moderate (29.77%), while aminoglycoside resistance (gentamicin) was low (2.38%). Multidrug resistance (MDR) patterns were identified in 91.30% (21/23) of poultry isolates and 52.63% (10/19) of swine isolates, with resistance spanning three to five antimicrobial classes. CONCLUSION: The presence of Salmonella in Cambodian swine and poultry farms and its high level of MDR underscore the urgent need for improved antimicrobial stewardship. The study highlights the risk of MDR Salmonella transmission through livestock production chains, emphasizing the necessity for stringent regulatory interventions, biosecurity measures, and surveillance programs to mitigate AMR spread in animal agriculture and public health sectors.","aim, indiscriminate, use, antimicrobials, livestock, farming, contributed, emergence, antimicrobialresistant, pathogens, posing, significant, public, health, challenge, aimed, assess, prevalence, antimicrobial, resistance, amr, profiles, salmonella, spp, isolated, swine, poultry, small, mediumscale, farms, cambodia, materials, total, fecal, samples, rectal, swabs, swine, cloacal, swabs, poultry, collected, five, provinces, cambodia, june, september, salmonella, spp, isolation, followed, iso, guidelines, antimicrobial, susceptibility, testing, conducted, using, disk, diffusion, method, adhering, clinical, laboratory, standards, institute, standards, resistance, assessed, nine, antimicrobial, agents, across, five, major, classes, overall, salmonella, detected, samples, swine, poultry, swinederived, isolates, exhibited, highest, prevalence, growing, stage, whereas, poultry, isolates, common, avian, broilers, high, resistance, observed, betalactams, penicillin, amoxicillin, ampicillin, tetracyclines, sulfonamides, resistance, rates, ranging, fluoroquinolone, resistance, ciprofloxacin, norfloxacin, moderate, aminoglycoside, resistance, gentamicin, low, multidrug, resistance, mdr, patterns, identified, poultry, isolates, swine, isolates, resistance, spanning, three, five, antimicrobial, classes, presence, salmonella, cambodian, swine, poultry, farms, high, level, mdr, underscore, urgent, need, improved, antimicrobial, stewardship, highlights, risk, mdr, salmonella, transmission, livestock, production, chains, emphasizing, necessity, stringent, regulatory, interventions, biosecurity, measures, surveillance, programs, mitigate, amr, spread, animal, agriculture, public, health, sectors"
"BACKGROUND: In addition to high palatability, meat and meat products are important sources of essential nutrients that are important to the growth and performance of our bodies. However, meat and its products can harbor various microorganisms. Pseudomonas species (spp.) are considered to be one of the primary causes of meat deterioration and spoilage, as well as foodborne illnesses. AIM: Different types of meat products were evaluated bacteriologically to detect the prevalence of Pseudomonas spp., in addition to the evaluation of the antibacterial effect of clove essential oil (CEO) on Pseudomonas aeruginosa. METHODS: One hundred samples of minced meat, imported frozen meat, hamburgers, and luncheons were gathered randomly from various markets within the Sharkia Governorate, Egypt. Pseudomonas spp. were counted and identified; furthermore, the disk diffusion method was used to assess the antibiogram of P. aeruginosa, and some antibiotic resistance genes were detected. In addition, minimum inhibitory concentrations, minimum bactericidal concentrations, and the disc diffusion technique were used to evaluate the antibacterial properties of CEO in vitro. Furthermore, the experimental section assessed the effects of 5% and 10% CEO on the sensory characteristics and P. aeruginosa counts. RESULTS: The results showed that 44% of samples harbored Pseudomonas spp. with a mean count of 5.08 +/- 0.13, 4.43 +/- 0.25, 3.79 +/- 0.18, and 3.29 +/- 0.28 log(10) CFU/g in minced beef meat, imported frozen meat, hamburgers and luncheons, respectively. Four species were identified: P. psychrophila (40.9%), P. fluorescens (29.5%), P. fragi (18.2%), and P. aeruginosa (11.4%). Pseudomonas aeruginosa was 100% resistant to tetracycline, oxacillin, amoxicillin-clavulanic acid, lincomycin, and clindamycin; meanwhile, it was 100% sensitive to amikacin and ciprofloxacin. All tested P. aeruginosa harbored the blaSHV and Mcr1 genes; meanwhile, the blaOXA-1 gene was not detected. Furthermore, the CEO improved the sensory characteristics and reduced the number of P. aeruginosa. CONCLUSION: Due to growing concerns about food safety, natural antimicrobials were applied to control multidrug-resistant foodborne pathogens and spoilage bacteria. CEO had a noticeable effect on the overall acceptability of meat by sensory evaluation, and it was highly effective in meat preservation, achieving a reduction percent in P. aeruginosa count by 99.6%.","addition, high, palatability, meat, meat, products, important, sources, essential, nutrients, important, growth, performance, bodies, however, meat, products, harbor, various, microorganisms, pseudomonas, species, spp, considered, one, primary, causes, meat, deterioration, spoilage, well, foodborne, illnesses, aim, different, types, meat, products, evaluated, bacteriologically, detect, prevalence, pseudomonas, spp, addition, evaluation, antibacterial, effect, clove, essential, oil, ceo, pseudomonas, aeruginosa, one, hundred, samples, minced, meat, imported, frozen, meat, hamburgers, luncheons, gathered, randomly, various, markets, within, sharkia, governorate, egypt, pseudomonas, spp, counted, identified, furthermore, disk, diffusion, method, used, assess, antibiogram, aeruginosa, antibiotic, resistance, genes, detected, addition, minimum, inhibitory, concentrations, minimum, bactericidal, concentrations, disc, diffusion, technique, used, evaluate, antibacterial, properties, ceo, vitro, furthermore, experimental, section, assessed, effects, ceo, sensory, characteristics, aeruginosa, counts, showed, samples, harbored, pseudomonas, spp, mean, count, log, cfug, minced, beef, meat, imported, frozen, meat, hamburgers, luncheons, respectively, four, species, identified, psychrophila, fluorescens, fragi, aeruginosa, pseudomonas, aeruginosa, resistant, tetracycline, oxacillin, amoxicillinclavulanic, acid, lincomycin, clindamycin, meanwhile, sensitive, amikacin, ciprofloxacin, tested, aeruginosa, harbored, blashv, mcr, genes, meanwhile, blaoxa, gene, detected, furthermore, ceo, improved, sensory, characteristics, reduced, number, aeruginosa, due, growing, concerns, food, safety, natural, antimicrobials, applied, control, multidrugresistant, foodborne, pathogens, spoilage, bacteria, ceo, noticeable, effect, overall, acceptability, meat, sensory, evaluation, highly, effective, meat, preservation, achieving, reduction, percent, aeruginosa, count"
"We present a rare case of Desulfovibrio desulfuricans bacteraemia and associated liver abscess. A 72-year-old Caucasian woman presented with an acute history of fevers, rigors and abdominal pain. She was managed empirically with ceftriaxone and metronidazole and required 24 hours of inotropic support due to hypotension from sepsis. A computed tomography scan of her abdomen demonstrated a 6cm liver abscess in maximal diameter. On day seven of her admission, blood cultures flagged an anaerobic gram-negative bacillus, which was later identified by MALDI-TOF MS as Desulfovibrio desulfuricans. The isolate was susceptible to amoxicillin-clavulanic acid, ertapenem, moxifloxacin, clindamycin and metronidazole but resistant to piperacillin-tazobactam. Despite percutaneous drainage on day two of admission, her fevers persisted for three weeks. Intravenous ceftriaxone and metronidazole were changed to amoxicillin-clavulanic acid on day nine of admission, administered for a total of 6 weeks. Desulfovibrio desulfuricans is emerging as an uncommon cause of liver abscess, and it is important to consider in the setting of an anaerobic, spiral gram-negative bacilli which can be resistant to empirical antibiotics including piperacillin-tazobactam.","present, rare, case, desulfovibrio, desulfuricans, bacteraemia, associated, liver, abscess, yearold, caucasian, woman, presented, acute, history, fevers, rigors, abdominal, pain, managed, empirically, ceftriaxone, metronidazole, required, hours, inotropic, support, due, hypotension, sepsis, computed, tomography, scan, abdomen, demonstrated, cm, liver, abscess, maximal, diameter, day, seven, admission, blood, cultures, flagged, anaerobic, gramnegative, bacillus, later, identified, malditof, ms, desulfovibrio, desulfuricans, isolate, susceptible, amoxicillinclavulanic, acid, ertapenem, moxifloxacin, clindamycin, metronidazole, resistant, piperacillintazobactam, despite, percutaneous, drainage, day, two, admission, fevers, persisted, three, weeks, intravenous, ceftriaxone, metronidazole, changed, amoxicillinclavulanic, acid, day, nine, admission, administered, total, weeks, desulfovibrio, desulfuricans, emerging, uncommon, cause, liver, abscess, important, consider, setting, anaerobic, spiral, gramnegative, bacilli, resistant, empirical, antibiotics, including, piperacillintazobactam"
"The continuous growth of global population has promoted the development of new aquaculture techniques for enhancing food supply. Modern approaches, such as Recirculating Aquaculture Systems (RAS), present new challenges concerning the elimination of chemical substances and pathogens that appear because of their operation. In this study, the simultaneous removal of amoxicillin and water disinfection was evaluated using different UV-C photoassisted Advanced Oxidation Processes (AOPs). The processes involved oxidants such as hydrogen peroxide, peracetic acid, sodium hypochlorite, potassium peroxymonosulfate, and sodium persulfate. The optimization of radiation and oxidant dosage was assessed in a batch system photoreactor using simulated aquaculture water. Moreover, the disinfection potential of these treatments, as well of the production of disinfection by-products (DBPs), phytotoxicity generation and matrix interaction are also addressed. Finally, a first approximation to the reaction mechanism is carried out via scavenging studies. Results show that 10 W/m(2) of UV-C and optimized dosages in the 0.1-3.2 mM range of oxidant eliminate at least 80 % of amoxicillin in 2 h of operation. Disinfection was achieved in 1 min of treatment and maintained for at least two weeks after storage. While DBPs and matrix parameters variation were minimal. Scavenging study shows that HO(⦁), (1)O(2), and SO(4)(⦁-) radicals are the main ones involved in antibiotic degradation. The optimization of operation conditions sets the path towards scale-up of the process in continuous systems, with the objective of application of the process in real aquaculture water.","continuous, growth, global, population, promoted, development, new, aquaculture, techniques, enhancing, food, supply, modern, approaches, recirculating, aquaculture, systems, ras, present, new, challenges, concerning, elimination, chemical, substances, pathogens, appear, operation, simultaneous, removal, amoxicillin, water, disinfection, evaluated, using, different, uvc, photoassisted, advanced, oxidation, processes, aops, processes, involved, oxidants, hydrogen, peroxide, peracetic, acid, sodium, hypochlorite, potassium, peroxymonosulfate, sodium, persulfate, optimization, radiation, oxidant, dosage, assessed, batch, system, photoreactor, using, simulated, aquaculture, water, moreover, disinfection, potential, treatments, well, production, disinfection, byproducts, dbps, phytotoxicity, generation, matrix, interaction, also, addressed, finally, first, approximation, reaction, mechanism, carried, via, scavenging, studies, show, wm, uvc, optimized, dosages, mm, range, oxidant, eliminate, least, amoxicillin, h, operation, disinfection, achieved, min, treatment, maintained, least, two, weeks, storage, dbps, matrix, parameters, variation, minimal, scavenging, shows, ho, radicals, main, ones, involved, antibiotic, degradation, optimization, operation, conditions, sets, path, towards, scaleup, process, continuous, systems, application, process, real, aquaculture, water"
"STUDY AIMS:  Streptococcus agalacticae is a pathogen associated with maternal and neonatal morbidity and mortality. The current gold standard for preventing neonatal sepsis is the intrapartum antibiotic prophylaxis (IAP) of Streptococcus agalacticae-positive mothers. Antimicrobial resistance is on the rise and increasingly threatens public health. Therefore, the responsible use of antibiotics is critical. Switzerland lacks unified IAP guidelines. IAP management varies by obstetric ward and is based on various national and international guidelines. This study aimed to gain an overview of the variability of existing internal protocols for IAP for Streptococcus agalacticae in Swiss obstetrics wards. METHOD: In March and April 2024, all identified obstetric wards in Switzerland were contacted and invited to submit their internal protocols so that they could be analysed for the choice of antibiotics for IAP, the referenced literature supporting their protocols and the professions involved in their development. RESULTS: Of 87 departments contacted, 43 (49%) shared their protocols. Three beta-lactam antibiotics were identified as the first choice: penicillin G (56%, n = 24), amoxicillin (28%, n = 12) and co-amoxicillin (9%, n = 4). In 19% of the protocols (n = 8), there was no distinction between mild or severe allergy to penicillin derivatives. In this group (n = 8), 75% (n = 6) administered clindamycin as the second choice, with 50% (n = 3 of 6) offering vancomycin as an alternative in cases of known clindamycin resistance or allergy. In the group with allergy severity classification (n = 35), first- and second-generation cephalosporins were preferred for mild penicillin allergy: 71% (n = 25) used cefazolin, 26% (n = 9) used cefuroxime and erythromycin was mentioned by n = 1. In 21 of the 33 received protocols with references, Expert Letter No. 19 from the Swiss Society of Gynaecology and Obstetrics (SGGG) was referenced, making up 64 % of the used literature. This was followed by other literature (58 %, n = 19) and the revised guidelines of the Swiss Society of Neonatology in collaboration with the Paediatric Infectious Disease Group Switzerland (PIGS) (30 %, n = 10). Mostly gynaecologists (90%; n = 28 of 31) were involved as authors of internal protocols. Neonatologists were not mentioned by any. CONCLUSION: Our study highlights that the management of intrapartum antibiotic prophylaxis is heterogeneous, and antimicrobial stewardship is lacking in most Swiss obstetric wards. In terms of literature, German-speaking wards in Switzerland are more orientated towards German-speaking neighbouring countries than French- and Italian-speaking wards. There is a need to enhance interdisciplinarity in the development of internal protocols and to create a joint national guideline among professional societies.","aims, streptococcus, agalacticae, pathogen, associated, maternal, neonatal, morbidity, mortality, current, gold, standard, preventing, neonatal, sepsis, intrapartum, antibiotic, prophylaxis, iap, streptococcus, agalacticaepositive, mothers, antimicrobial, resistance, rise, increasingly, threatens, public, health, therefore, responsible, use, antibiotics, critical, switzerland, lacks, unified, iap, guidelines, iap, management, varies, obstetric, ward, based, various, national, international, guidelines, aimed, gain, overview, variability, existing, internal, protocols, iap, streptococcus, agalacticae, swiss, obstetrics, wards, method, march, april, identified, obstetric, wards, switzerland, contacted, invited, submit, internal, protocols, could, analysed, choice, antibiotics, iap, referenced, literature, supporting, protocols, professions, involved, development, departments, contacted, shared, protocols, three, betalactam, antibiotics, identified, first, choice, penicillin, g, n, amoxicillin, n, coamoxicillin, n, protocols, n, distinction, mild, severe, allergy, penicillin, derivatives, group, n, n, administered, clindamycin, second, choice, n, offering, vancomycin, alternative, cases, known, clindamycin, resistance, allergy, group, allergy, severity, classification, n, first, secondgeneration, cephalosporins, preferred, mild, penicillin, allergy, n, used, cefazolin, n, used, cefuroxime, erythromycin, mentioned, n, received, protocols, references, expert, letter, swiss, society, gynaecology, obstetrics, sggg, referenced, making, used, literature, followed, literature, n, revised, guidelines, swiss, society, neonatology, collaboration, paediatric, infectious, disease, group, switzerland, pigs, n, mostly, gynaecologists, n, involved, authors, internal, protocols, neonatologists, mentioned, highlights, management, intrapartum, antibiotic, prophylaxis, heterogeneous, antimicrobial, stewardship, lacking, swiss, obstetric, wards, terms, literature, germanspeaking, wards, switzerland, orientated, towards, germanspeaking, neighbouring, countries, french, italianspeaking, wards, need, enhance, interdisciplinarity, development, internal, protocols, create, joint, national, guideline, among, professional, societies"
"BACKGROUND: Staphylococcus aureus (S. aureus) is a versatile pathogen that causes diseases. Raw milk is an ideal, rich medium that helps and supports the growth of microorganisms and is highly susceptible to S. aureus immediately after milking. As camel milk was usually consumed in its raw state in pastoralist areas, the contamination and intoxication of raw milk due to pathogenic S. aureus were a public health problem. OBJECTIVE: The study aimed to determine the prevalence, antibiotic resistance pattern, and associated factors of S. aureus in raw camel milk in Babile District, Oromia Region, Eastern Ethiopia. METHOD: A community-based cross-sectional study was conducted in the Babille district among 350 raw camel milk. Participants were selected using a multi-stage sampling technique. Data was collected using a pretested structured questionnaire, and 25 mL of raw camel milk was collected in sterile screw-capped bottles. S. aureus was identified through culture, Gram stain, and biochemical tests. A bivariate and multivariable logistic regression was done. p-value </= 0.05 was considered statistically significant. RESULT: In this study, the overall prevalence of S. aureus in raw camel milk was 14% (95% CI: 10, 18). Parity [AOR = 3.52, 95% CI: (1.207, 10.277), p = 0.021], drainage condition of the milking place [AOR = 4.62, 95% CI: (1.853, 11.557), p = 0.001], not hand washing before milking [AOR = 3.94, 95% CI: (1.599, 9.716), p = 0.003] and the type of containers used for selling milk [AOR = 8.40, 95% CI: (1.258, 26.068), p = 0.028] were significant predictors of S. aureus. A high level of resistance was recorded against tetracycline (81.6%), penicillin G (81.6%), and amoxicillin (69.4%). CONCLUSION: Overall, the prevalence of S. aureus isolated from raw camel milk of the Babile district was high. Multi-drug resistance among the isolates was also high. Therefore, washing hands and milking containers before milking and using stainless steel containers instead of plastic containers could be applied. Raw camel milk intended for human consumption should be properly transported, stored and subjected to heat treatment. Increasing awareness and creation of the hygienic practice of camel milk handling is paramount. Antibiotics should only be used to treat sick animals based on the diagnosis of the diseases (Supplementary Information).","staphylococcus, aureus, aureus, versatile, pathogen, causes, diseases, raw, milk, ideal, rich, medium, helps, supports, growth, microorganisms, highly, susceptible, aureus, immediately, milking, camel, milk, usually, consumed, raw, state, pastoralist, areas, contamination, intoxication, raw, milk, due, pathogenic, aureus, public, health, problem, aimed, determine, prevalence, antibiotic, resistance, pattern, associated, factors, aureus, raw, camel, milk, babile, district, oromia, region, eastern, ethiopia, method, communitybased, crosssectional, conducted, babille, district, among, raw, camel, milk, participants, selected, using, multistage, sampling, technique, data, collected, using, pretested, structured, questionnaire, ml, raw, camel, milk, collected, sterile, screwcapped, bottles, aureus, identified, culture, gram, stain, biochemical, tests, bivariate, multivariable, logistic, regression, done, pvalue, considered, statistically, significant, overall, prevalence, aureus, raw, camel, milk, ci, parity, aor, ci, drainage, condition, milking, place, aor, ci, hand, washing, milking, aor, ci, type, containers, used, selling, milk, aor, ci, significant, predictors, aureus, high, level, resistance, recorded, tetracycline, penicillin, g, amoxicillin, overall, prevalence, aureus, isolated, raw, camel, milk, babile, district, high, multidrug, resistance, among, isolates, also, high, therefore, washing, hands, milking, containers, milking, using, stainless, steel, containers, instead, plastic, containers, could, applied, raw, camel, milk, intended, human, consumption, properly, transported, stored, subjected, heat, treatment, increasing, awareness, creation, hygienic, practice, camel, milk, handling, paramount, antibiotics, used, treat, sick, animals, based, diagnosis, diseases, supplementary, information"
"Bacterial biofilms on dental implants can lead to peri-implant infections and demonstrate a remarkable ability to evade host immunity and resist antibiotics. Advanced in vitro models, such as the three-dimensional implant-tissue-oral-bacterial-biofilm model (INTER(b)ACT), are essential to evaluate antibiofilm efficacy. The INTER(b)ACT model, effectively reproduces the complex triangular interactions between an organotypic oral mucosa, an integrated implant and an oral multispecies biofilms, in the peri-implant situation. Here, we investigated the effect of antibacterial agents (chlorhexidine, amoxicillin, ciprofloxacin, doxycycline, and metronidazole) on biofilm-tissue interactions in the INTER(b)ACT model. While the antibacterial interventions had no effect on biofilm volume, all agents decreased the proportion of viable bacteria, underscoring their effect on bacterial viability despite biofilm resilience. Biofilm exposure to untreated tissues caused epithelial damage, whereas all antibacterial agents preserved epithelial integrity. However, the modulation of pro-inflammatory response differed between the various agents. All antibacterial treatments reduced hBD-2 and TIMP-1 levels. While doxycycline decreased IL-1beta and CCL20, chlorhexidine lowered TNF-alpha level. In conclusion, the INTER(b)ACT model allowed the successful assessment of antibacterial efficacy, elucidation of biofilm resistance and characterization of inflammation during peri-implant tissue-biofilm interactions. This validation highlights the model's potential as a platform for developing and evaluating new therapeutic strategies for peri-implant diseases.","bacterial, biofilms, dental, implants, lead, periimplant, infections, demonstrate, remarkable, ability, evade, host, immunity, resist, antibiotics, advanced, vitro, models, threedimensional, implanttissueoralbacterialbiofilm, model, interbact, essential, evaluate, antibiofilm, efficacy, interbact, model, effectively, reproduces, complex, triangular, interactions, organotypic, oral, mucosa, integrated, implant, oral, multispecies, biofilms, periimplant, situation, investigated, effect, antibacterial, agents, chlorhexidine, amoxicillin, ciprofloxacin, doxycycline, metronidazole, biofilmtissue, interactions, interbact, model, antibacterial, interventions, effect, biofilm, volume, agents, decreased, proportion, viable, bacteria, underscoring, effect, bacterial, viability, despite, biofilm, resilience, biofilm, exposure, untreated, tissues, caused, epithelial, damage, whereas, antibacterial, agents, preserved, epithelial, integrity, however, modulation, proinflammatory, response, differed, various, agents, antibacterial, treatments, reduced, hbd, timp, levels, doxycycline, decreased, ilbeta, ccl, chlorhexidine, lowered, tnfalpha, level, interbact, model, allowed, successful, assessment, antibacterial, efficacy, elucidation, biofilm, resistance, characterization, inflammation, periimplant, tissuebiofilm, interactions, validation, highlights, models, potential, platform, developing, evaluating, new, therapeutic, strategies, periimplant, diseases"
